id,name,category,brand,price,color,material,description,image_url,combined_text
1,Adidas Shoe 1,Shoes,Adidas,8915,Green,Leather,"Green shoes made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 1 Shoes Adidas Green Leather Green shoes made of leather, suitable for everyday use."
2,Adidas Shoe 2,Shoes,Adidas,3029,Black,Plastic,"Black shoes made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=800&q=80,"Adidas Shoe 2 Shoes Adidas Black Plastic Black shoes made of plastic, suitable for everyday use."
3,Reebok Shoe 3,Shoes,Reebok,4483,Grey,Cotton,"Grey shoes made of cotton, suitable for everyday use.",https://images.unsplash.com/photo-1539185441755-769473a23570?auto=format&fit=crop&w=800&q=80,"Reebok Shoe 3 Shoes Reebok Grey Cotton Grey shoes made of cotton, suitable for everyday use."
4,Nike Shoe 4,Shoes,Nike,1521,Red,Plastic,"Red shoes made of plastic, suitable for everyday use.",https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80,"Nike Shoe 4 Shoes Nike Red Plastic Red shoes made of plastic, suitable for everyday use."
5,Reebok Shoe 5,Shoes,Reebok,6072,Green,Leather,"Green shoes made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&w=800&q=80,"Reebok Shoe 5 Shoes Reebok Green Leather Green shoes made of leather, suitable for everyday use."
6,Nike Shoe 6,Shoes,Nike,5499,Green,Polyester,"Green shoes made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&w=800&q=80,"Nike Shoe 6 Shoes Nike Green Polyester Green shoes made of polyester, suitable for everyday use."
7,Campus Shoe 7,Shoes,Campus,7714,Black,Polyester,"Black shoes made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&w=800&q=80,"Campus Shoe 7 Shoes Campus Black Polyester Black shoes made of polyester, suitable for everyday use."
8,Campus Shoe 8,Shoes,Campus,9392,Grey,Leather,"Grey shoes made of leather, suitable for everyday use.",https://images.unsplash.com/photo-1539185441755-769473a23570?auto=format&fit=crop&w=800&q=80,"Campus Shoe 8 Shoes Campus Grey Leather Grey shoes made of leather, suitable for everyday use."
9,Puma Shoe 9,Shoes,Puma,1154,White,Polyester,"White shoes made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&w=800&q=80,"Puma Shoe 9 Shoes Puma White Polyester White shoes made of polyester, suitable for everyday use."
10,Campus Shoe 10,Shoes,Campus,2970,Grey,Polyester,"Grey shoes made of polyester, suitable for everyday use.",https://images.unsplash.com/photo-1539185441755-769473a23570?auto=format&fit=crop&w=800&q=80,"Campus Shoe 10 Shoes Campus Grey Polyester Grey shoes made of polyester, suitable for everyday use."
